Response ID,Age Group,Gender,Industry,Years of Experience,Current Work Arrangement,Have you ever experienced working from home?,Do you think that working from home increases your work productivity?,Do you think that working from home prevents you from going out?,Do you think that working from home gives you more flexibility?,Do you think that working from home saves you more time?,"Which work type has the potential to cause you physical problems, such as the neck, back, and leg pain?","Which work type has the potential to cause mental disorders, such as stress, anxiety, and depression?",Do you think that working from home prevents you from getting in contact with people?,Which work type keeps you focused while working?,Which work type do you prefer the most?
390,45–54,Male,Technology,3–5 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
391,35–44,Female,Finance,0–2 years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
392,18–24,Female,Government,11–20 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
393,35–44,Male,Healthcare,20+ years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
394,35–44,Male,Technology,0–2 years,Hybrid,Yes,Yes,Yes,No,No,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
395,18–24,Female,Finance,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working from home
396,25–34,Male,Other,20+ years,Hybrid,Yes,Yes,Yes,No,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
397,45–54,Female,Healthcare,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
398,25–34,Female,Technology,0–2 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
399,25–34,Female,Technology,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working from home
400,25–34,Male,Finance,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
401,25–34,Male,Finance,0–2 years,Fully In-Office,No,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working from home
402,55+,Male,Government,11–20 years,Fully In-Office,No,No,No,Yes,No,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
403,45–54,Female,Government,6–10 years,Fully Remote,Yes,No,No,Yes,No,Working from home,Working in an office,Yes,Working from home,Working from home
404,18–24,Male,Other,20+ years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,Working from home
405,55+,Male,Government,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
406,45–54,Male,Healthcare,11–20 years,Hybrid,Yes,Yes,No,Yes,No,Working in an office,Working in an office,No,Working from home,A mixed mode of working
407,25–34,Female,Finance,6–10 years,Fully In-Office,No,No,Yes,No,Yes,Working from home,Working from home,No,Working in an office,Working in an office
408,45–54,Male,Healthcare,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
409,18–24,Female,Healthcare,6–10 years,Fully In-Office,No,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,Working in an office
410,55+,Female,Other,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
411,35–44,Female,Retail/Hospitality,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
412,35–44,Non-binary/Other,Other,0–2 years,Fully Remote,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
413,18–24,Female,Education,6–10 years,Fully In-Office,No,No,No,Yes,No,Working in an office,Working from home,No,Working in an office,A mixed mode of working
414,45–54,Female,Finance,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
415,18–24,Male,Education,3–5 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
416,25–34,Female,Technology,3–5 years,Fully In-Office,Yes,Yes,Yes,No,No,Working in an office,Working from home,Yes,Working from home,Working in an office
417,25–34,Female,Healthcare,11–20 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
418,45–54,Female,Finance,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working from home
419,25–34,Female,Technology,0–2 years,Fully Remote,Yes,Yes,Yes,No,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
420,55+,Non-binary/Other,Other,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
421,35–44,Female,Technology,11–20 years,Hybrid,Yes,No,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
422,18–24,Female,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working in an office,Working from home
423,18–24,Male,Government,11–20 years,Hybrid,No,Yes,Yes,Yes,Yes,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
424,18–24,Male,Technology,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
425,35–44,Male,Other,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
426,45–54,Male,Retail/Hospitality,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
427,25–34,Male,Technology,0–2 years,Fully Remote,No,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
428,45–54,Male,Retail/Hospitality,20+ years,Fully Remote,Yes,No,No,Yes,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
429,18–24,Female,Retail/Hospitality,20+ years,Fully Remote,No,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,Working from home
430,45–54,Male,Government,11–20 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,Working from home
431,55+,Female,Government,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working from home,A mixed mode of working
432,45–54,Female,Retail/Hospitality,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
433,35–44,Male,Finance,20+ years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
434,45–54,Male,Healthcare,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
435,18–24,Male,Retail/Hospitality,0–2 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,Working from home
436,25–34,Non-binary/Other,Other,6–10 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working from home
437,18–24,Male,Finance,3–5 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
438,35–44,Female,Retail/Hospitality,3–5 years,Fully Remote,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working from home
439,45–54,Female,Education,0–2 years,Hybrid,Yes,Yes,Yes,No,No,Working from home,Working in an office,No,Working from home,Working from home
440,35–44,Non-binary/Other,Government,6–10 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
441,45–54,Male,Other,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
442,25–34,Male,Technology,3–5 years,Hybrid,Yes,Yes,Yes,No,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
443,35–44,Male,Technology,0–2 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
444,25–34,Male,Finance,6–10 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
445,25–34,Male,Education,20+ years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
446,35–44,Female,Finance,3–5 years,Hybrid,No,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
447,55+,Female,Technology,11–20 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
448,35–44,Female,Education,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,No,Working from home,A mixed mode of working
449,18–24,Female,Finance,3–5 years,Hybrid,No,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
450,35–44,Male,Finance,11–20 years,Fully Remote,Yes,No,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
451,18–24,Female,Retail/Hospitality,11–20 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
452,45–54,Female,Retail/Hospitality,6–10 years,Fully In-Office,No,No,Yes,No,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
453,35–44,Female,Retail/Hospitality,0–2 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
454,25–34,Female,Government,0–2 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working from home
455,18–24,Male,Retail/Hospitality,20+ years,Hybrid,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
456,25–34,Male,Finance,11–20 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
457,55+,Male,Finance,20+ years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
458,25–34,Male,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
459,45–54,Female,Healthcare,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working from home
460,35–44,Male,Finance,11–20 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
461,35–44,Female,Other,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
462,25–34,Female,Retail/Hospitality,11–20 years,Hybrid,No,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
463,55+,Male,Technology,0–2 years,Hybrid,Yes,No,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
464,25–34,Male,Finance,3–5 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
465,35–44,Female,Healthcare,11–20 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working from home,Working in an office
466,35–44,Female,Retail/Hospitality,11–20 years,Fully Remote,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
467,35–44,Male,Government,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working in an office,A mixed mode of working
468,55+,Male,Finance,3–5 years,Hybrid,Yes,No,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
469,25–34,Female,Finance,3–5 years,Fully In-Office,No,Yes,No,Yes,Yes,Working from home,Working in an office,No,Working from home,Working in an office
470,35–44,Male,Healthcare,20+ years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
471,25–34,Female,Education,6–10 years,Fully In-Office,Yes,Yes,No,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
472,35–44,Male,Other,6–10 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
473,18–24,Male,Retail/Hospitality,6–10 years,Hybrid,No,No,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
474,18–24,Female,Finance,6–10 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
475,25–34,Female,Healthcare,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,No,Working in an office,Working in an office
476,25–34,Female,Technology,6–10 years,Hybrid,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
477,25–34,Male,Technology,11–20 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
478,35–44,Non-binary/Other,Technology,20+ years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
479,35–44,Female,Education,20+ years,Fully In-Office,Yes,No,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
480,25–34,Male,Other,6–10 years,Fully In-Office,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
481,25–34,Male,Finance,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
482,25–34,Male,Healthcare,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
483,35–44,Female,Technology,11–20 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
484,25–34,Male,Healthcare,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
485,18–24,Female,Government,11–20 years,Fully In-Office,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working from home
486,25–34,Male,Education,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
487,35–44,Non-binary/Other,Government,11–20 years,Fully In-Office,Yes,No,Yes,No,Yes,Working from home,Working from home,No,Working from home,A mixed mode of working
488,25–34,Male,Government,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working from home,Working from home
489,35–44,Female,Technology,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working in an office,No,Working from home,A mixed mode of working
490,35–44,Male,Finance,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working in an office,A mixed mode of working
491,35–44,Male,Other,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
492,35–44,Female,Education,0–2 years,Fully In-Office,Yes,No,No,Yes,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
493,35–44,Female,Technology,11–20 years,Fully In-Office,Yes,No,Yes,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,Working in an office
494,25–34,Female,Other,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
495,45–54,Male,Other,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
496,35–44,Female,Finance,11–20 years,Hybrid,Yes,No,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
497,25–34,Female,Finance,11–20 years,Hybrid,Yes,Yes,Yes,No,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
498,35–44,Female,Technology,11–20 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,No,Working from home,Working from home
499,25–34,Male,Government,6–10 years,Fully In-Office,Yes,Yes,No,Yes,No,Working in an office,Working in an office,No,Working in an office,Working in an office
500,35–44,Female,Education,11–20 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
501,35–44,Female,Technology,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working from home
502,45–54,Female,Retail/Hospitality,6–10 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working from home,A mixed mode of working
503,55+,Male,Other,0–2 years,Hybrid,Yes,Yes,Yes,No,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
504,35–44,Male,Government,11–20 years,Hybrid,Yes,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
505,35–44,Female,Healthcare,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
506,45–54,Female,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
507,25–34,Female,Other,6–10 years,Hybrid,No,Yes,No,Yes,No,Working in an office,Working from home,No,Working from home,Working from home
508,45–54,Male,Other,11–20 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
509,35–44,Male,Finance,11–20 years,Fully In-Office,No,Yes,Yes,No,No,Working in an office,Working in an office,No,Working from home,Working in an office
510,18–24,Female,Retail/Hospitality,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,Working in an office
511,18–24,Male,Education,20+ years,Hybrid,No,No,No,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
512,45–54,Male,Education,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
513,18–24,Female,Technology,20+ years,Fully In-Office,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working in an office
514,25–34,Female,Technology,20+ years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
515,25–34,Female,Healthcare,20+ years,Fully Remote,Yes,No,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
516,25–34,Male,Government,11–20 years,Hybrid,Yes,No,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,A mixed mode of working
517,25–34,Male,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working in an office,No,Working in an office,Working from home
518,45–54,Female,Healthcare,3–5 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
519,18–24,Male,Finance,6–10 years,Fully In-Office,No,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
520,45–54,Male,Technology,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
521,45–54,Male,Technology,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
522,25–34,Female,Finance,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
523,25–34,Female,Healthcare,0–2 years,Fully In-Office,No,No,No,Yes,No,Working in an office,Working in an office,Yes,Working from home,Working in an office
524,35–44,Female,Retail/Hospitality,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
525,18–24,Female,Other,6–10 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
526,25–34,Male,Technology,6–10 years,Hybrid,Yes,No,No,Yes,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
527,55+,Male,Other,0–2 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
528,55+,Male,Other,3–5 years,Fully In-Office,No,No,No,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
529,45–54,Male,Government,11–20 years,Fully Remote,Yes,No,Yes,No,Yes,Working from home,Working in an office,No,Working from home,Working from home
530,25–34,Male,Retail/Hospitality,6–10 years,Hybrid,Yes,No,No,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
531,35–44,Male,Retail/Hospitality,0–2 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
532,35–44,Male,Retail/Hospitality,0–2 years,Hybrid,Yes,Yes,Yes,No,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
533,25–34,Female,Retail/Hospitality,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
534,35–44,Female,Technology,3–5 years,Hybrid,Yes,No,Yes,Yes,Yes,Working in an office,Working from home,No,Working from home,A mixed mode of working
535,18–24,Male,Other,11–20 years,Hybrid,No,No,Yes,No,Yes,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
536,25–34,Female,Finance,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
537,35–44,Female,Government,3–5 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
538,25–34,Female,Education,6–10 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working from home
539,25–34,Female,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
540,45–54,Male,Finance,3–5 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
541,55+,Female,Finance,20+ years,Fully Remote,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working from home
542,35–44,Male,Education,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
543,45–54,Male,Healthcare,20+ years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
544,55+,Male,Healthcare,3–5 years,Hybrid,Yes,No,Yes,Yes,Yes,Working in an office,Working from home,No,Working in an office,A mixed mode of working
545,25–34,Male,Finance,3–5 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
546,25–34,Male,Education,6–10 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
547,25–34,Male,Other,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
548,18–24,Female,Technology,20+ years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
549,45–54,Male,Healthcare,0–2 years,Fully In-Office,No,Yes,No,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
550,25–34,Male,Healthcare,11–20 years,Hybrid,Yes,Yes,No,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
551,35–44,Male,Finance,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
552,25–34,Male,Education,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
553,25–34,Male,Retail/Hospitality,3–5 years,Fully Remote,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
554,45–54,Male,Other,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working in an office,A mixed mode of working
555,18–24,Male,Healthcare,3–5 years,Fully Remote,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
556,25–34,Female,Retail/Hospitality,11–20 years,Fully In-Office,No,Yes,No,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
557,25–34,Female,Technology,6–10 years,Fully In-Office,Yes,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
558,35–44,Female,Healthcare,20+ years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
559,35–44,Female,Education,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working in an office
560,35–44,Female,Technology,6–10 years,Fully In-Office,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
561,18–24,Non-binary/Other,Finance,11–20 years,Fully In-Office,No,No,No,No,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
562,25–34,Female,Retail/Hospitality,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
563,45–54,Female,Retail/Hospitality,20+ years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
564,35–44,Female,Finance,3–5 years,Fully In-Office,Yes,Yes,No,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
565,35–44,Female,Finance,20+ years,Fully Remote,Yes,No,Yes,No,No,Working from home,Working from home,Yes,Working from home,Working from home
566,35–44,Male,Education,11–20 years,Hybrid,No,Yes,No,Yes,Yes,Working from home,Working in an office,No,Working in an office,A mixed mode of working
567,45–54,Male,Technology,11–20 years,Fully In-Office,Yes,No,No,No,Yes,Working in an office,Working from home,Yes,Working from home,Working in an office
568,18–24,Male,Technology,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
569,25–34,Male,Retail/Hospitality,11–20 years,Hybrid,Yes,No,No,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
570,35–44,Female,Other,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
571,25–34,Male,Technology,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
572,45–54,Female,Finance,3–5 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,No,Working from home,Working in an office
573,35–44,Female,Government,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
574,45–54,Female,Government,6–10 years,Hybrid,Yes,Yes,Yes,No,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
575,45–54,Male,Finance,3–5 years,Fully In-Office,No,No,Yes,No,No,Working from home,Working from home,No,Working in an office,Working in an office
576,35–44,Male,Finance,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
577,45–54,Female,Retail/Hospitality,11–20 years,Fully In-Office,Yes,No,Yes,No,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
578,35–44,Female,Other,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
579,45–54,Non-binary/Other,Technology,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,Working in an office
580,25–34,Female,Other,0–2 years,Fully Remote,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
581,35–44,Female,Technology,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
582,35–44,Male,Government,11–20 years,Fully In-Office,No,No,Yes,Yes,Yes,Working from home,Working in an office,No,Working in an office,Working in an office
583,18–24,Male,Technology,6–10 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
584,25–34,Male,Technology,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
